id,fecha,hora,hora_num,franja,municipio,coordinacion,colonia,calle,latitud,longitud,victimas,sexo,movil,observaciones,dist_base_km,windows_maps_query
246,2026-04-01,00:01:00,0,nocturna (22-06),ACOLMAN,ECATEPEC,LAS BRISAS,AV VERANO ESQUINA AHUEHUETES,19.6366728914074,-98.9062285352792,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,0.85,"AVENIDA VERANO ESQUINA AHUEHUETES, LAS BRISAS, ACOLMAN, Estado de México, México"
247,2026-04-01,00:30:00,0,nocturna (22-06),TEMOAYA,VALLE TOLUCA,SOLALPAN,AV PRINCIPAL Y CAMINO REAL DE SAN SOLALPAN,19.5039274940934,-99.5629355366488,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,12.61,"AVENIDA PRINCIPAL Y CAMINO REAL DE SAN SOLALPAN, SOLALPAN, TEMOAYA, Estado de México, México"
248,2026-04-02,,,sin dato,NAUCALPAN,METROPOLITANA,OLIMPIADA 68,AV CARLOS HANK GONZALEZ,19.4459353368087,-99.2829543611875,1,H,Se desconoce el Móvil de la Agresión,S/D,3.74,"AVENIDA CARLOS HANK GONZALEZ, OLIMPIADA 68, NAUCALPAN, Estado de México, México"
249,2026-04-02,,,sin dato,ACOLMAN,ECATEPEC,S/D,CALLE FÉRTIL VALLE ESQUINA VALLE DORADO,19.6411362620617,-98.9092155428668,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,0.87,"CALLE FERTIL VALLE ESQUINA VALLE DORADO, S/D, ACOLMAN, Estado de México, México"
250,2026-04-03,08:17:00,8,matutina (06-14),NICOLAS ROMERO,METROPOLITANA,SAN PABLO DE LA CRUZ,BOULEVARD ADOLFO LÓPEZ MATEOS 352 ESQUINA CON JACARANDAS,19.6179052202265,-99.3331518054304,1,H,consecuencia de la pugna entre organizaciones delictivas que operan en la zona.,IMPACTO DE ARMA DE FUEGO,1.3,"BOULEVARD ADOLFO LOPEZ MATEOS 352 ESQUINA CON JACARANDAS, SAN PABLO DE LA CRUZ, NICOLAS ROMERO, Estado de México, México"
251,2026-04-03,10:40:00,10,matutina (06-14),ACOLMAN,ECATEPEC,SAN MATEO CHIPILTÉPEC,CERRADA FRAY SERVANDO,19.6333862453953,-98.9111204647402,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,0.35,"CERRADA FRAY SERVANDO, SAN MATEO CHIPILTEPEC, ACOLMAN, Estado de México, México"
252,2026-04-03,17:47:00,17,vespertina (14-22),CUAUTITLAN IZCALLI,METROPOLITANA,PLAN DE GUADALUPE 2,CALLE MIGUEL ALLENDE,19.6190903074424,-99.2159060746126,1,H,Derivado de una riña,IMPACTO DE ARMA DE FUEGO,1.93,"CALLE MIGUEL ALLENDE, PLAN DE GUADALUPE 2, CUAUTITLAN IZCALLI, Estado de México, México"
253,2026-04-04,01:45:00,1,nocturna (22-06),CUAUTITLAN IZCALLI,METROPOLITANA,LA PIEDAD,CALLE MARGARITA,19.6689819318045,-99.2406201340367,1,H,Intento de robo en vía pública,IMPACTO DE ARMA DE FUEGO,2.99,"CALLE MARGARITA, LA PIEDAD, CUAUTITLAN IZCALLI, Estado de México, México"
254,2026-04-04,07:15:00,7,matutina (06-14),LA PAZ,ORIENTE,LAS PARCELAS,CALLE ANGEL ESQUINA CON SAN FRANCISCO,19.3710511370543,-98.9068898673403,1,M,Ataque directo por venta de droga,IMPACTO DE ARMA DE FUEGO,3.89,"CALLE ANGEL ESQUINA CON SAN FRANCISCO, LAS PARCELAS, LA PAZ, Estado de México, México"
255,2026-04-04,19:15:00,19,vespertina (14-22),ECATEPEC,ECATEPEC,EL PROGRESO DE GUADALUPE VICTORIA,CALLE LIRIOS,19.5132909271762,-99.0496197915165,1,H,SIN DATOS,LESIONES DE OBJETO PUNZOCORTANTE,1.73,"CALLE LIRIOS, EL PROGRESO DE GUADALUPE VICTORIA, ECATEPEC, Estado de México, México"
256,2026-04-04,19:50:00,19,vespertina (14-22),CUAUTITLAN IZCALLI,METROPOLITANA,BOSQUES DE HACIENDA,CALLE BOSQUES DE OLMOS,19.6831775546294,-99.2176207918718,1,H,Derivado de una riña,IMPACTO DE ARMA DE FUEGO,0.86,"CALLE BOSQUES DE OLMOS, BOSQUES DE HACIENDA, CUAUTITLAN IZCALLI, Estado de México, México"
257,2026-04-05,03:10:00,3,nocturna (22-06),LA PAZ,ORIENTE,LOMAS DE SAN ISIDRO I,CALLE PALOMA ESQUINA 76,19.3598032596717,-98.9204737683188,1,H,Ataque directo por venta de droga,IMPACTO DE ARMA DE FUEGO,2.03,"CALLE PALOMA ESQUINA 76, LOMAS DE SAN ISIDRO I, LA PAZ, Estado de México, México"
258,2026-04-05,09:45:00,9,matutina (06-14),POLOTITLAN,ATLACOMULCO,RUANO,CAMINO AL POZO,20.1832729769966,-99.7662948184021,1,H,Se desconoce el Móvil de la Agresión,IMPACTO DE ARMA DE FUEGO,6.81,"CAMINO AL POZO, RUANO, POLOTITLAN, Estado de México, México"
259,2026-04-06,00:52:00,0,nocturna (22-06),ECATEPEC,ECATEPEC,SAN ANDRÉS DE LA CAÑADA,CERRADA LAS CRUCES ESQUINA CON SAN MARTÍN,19.5699317836344,-99.0948396558025,2,H,SIN DATOS,RIÑA,5.13,"CERRADA LAS CRUCES ESQUINA CON SAN MARTIN, SAN ANDRES DE LA CANADA, ECATEPEC, Estado de México, México"
260,2026-04-06,08:55:00,8,matutina (06-14),HUEHUETOCA,ECATEPEC,SAN MIGUEL DE LOS JAGÜEYES,CARRETERA SAN MIGUEL DE LOS JAGÜEYES,18.9823011358128,-98.9142387986234,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,11.09,"CARRETERA SAN MIGUEL DE LOS JAGUEYES, SAN MIGUEL DE LOS JAGUEYES, HUEHUETOCA, Estado de México, México"
261,2026-04-07,02:40:00,2,nocturna (22-06),NAUCALPAN,METROPOLITANA,LA FLORIDA,CALLE MANUEL ÁVILA CAMACHO ESQUINA CON LA FLORIDA,19.4971347301256,-99.2364675142352,1,M,poisible ataque directo,IMPACTO DE ARMA DE FUEGO,1.25,"CALLE MANUEL AVILA CAMACHO ESQUINA CON LA FLORIDA, LA FLORIDA, NAUCALPAN, Estado de México, México"
262,2026-04-07,21:15:00,21,vespertina (14-22),CHALCO,CHALCO,JARDINES DE CHALCO,AV AZUCENA ESQUINA CON CALLE NARDOS Y AZALEA,19.2538290286928,-98.9163252431187,1,H,Ajuste de cuentas por venta de droga,IMPACTO DE ARMA DE FUEGO,1.58,"AVENIDA AZUCENA ESQUINA CON CALLE NARDOS Y AZALEA, JARDINES DE CHALCO, CHALCO, Estado de México, México"
263,2026-04-07,22:29:00,22,nocturna (22-06),LA PAZ,ORIENTE,LOS REYES ACAQUILPAN CENTRO,AV DEL TRABAJO ESQUINA CALLE IGNACIO ALDAMA,19.3570789285497,-98.9782810810138,2,H,Ataque directo por venta de droga,IMPACTO DE ARMA DE FUEGO,2.26,"AVENIDA DEL TRABAJO ESQUINA CALLE IGNACIO ALDAMA, LOS REYES ACAQUILPAN CENTRO, LA PAZ, Estado de México, México"
264,2026-04-08,08:55:00,8,matutina (06-14),HUEHUETOCA,ECATEPEC,SALITRILLO,CALLE SOR JUANA INÉS DE LA CRUZ ESQUINA BOULEVARD HUEHUETOCA,19.8312107702252,-99.2135862089593,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,2.5,"CALLE SOR JUANA INES DE LA CRUZ ESQUINA BOULEVARD HUEHUETOCA, SALITRILLO, HUEHUETOCA, Estado de México, México"
265,2026-04-08,22:15:00,22,nocturna (22-06),CUAUTITLAN IZCALLI,METROPOLITANA,LA CAPILLA,CALLE RIO CHIQUITO,19.6715571853972,-99.1962619850128,1,H,Probable riña,IMPACTO DE ARMA DE FUEGO,1.43,"CALLE RIO CHIQUITO, LA CAPILLA, CUAUTITLAN IZCALLI, Estado de México, México"
266,2026-04-08,22:40:00,22,nocturna (22-06),NAUCALPAN,METROPOLITANA,LOS REMEDIOS,CALLE CENTRAL 23 ESQUINA AV DE LOS ARCOS,19.4662615063822,-99.2642122845178,1,H,Probable riña,IMPACTO DE ARMA DE FUEGO,2.73,"CALLE CENTRAL 23 ESQUINA AV DE LOS ARCOS, LOS REMEDIOS, NAUCALPAN, Estado de México, México"
267,2026-04-09,04:50:00,4,nocturna (22-06),JALTENCO,ECATEPEC,ALBORADA JALTENCO,CALLE 4° ANDADOR DE ARRECIFE ENTRE PENINSULA Y ARRECIFE,19.661590473043,-99.0649756451769,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,3.16,"CALLE 4° ANDADOR DE ARRECIFE ENTRE PENINSULA Y ARRECIFE, ALBORADA JALTENCO, JALTENCO, Estado de México, México"
268,2026-04-09,05:00:00,5,nocturna (22-06),ECATEPEC,ECATEPEC,RIO DE LUZ,CALLE ZACATECAS,19.5726856488053,-99.0154491995575,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,0.55,"CALLE ZACATECAS, RIO DE LUZ, ECATEPEC, Estado de México, México"
269,2026-04-09,15:27:00,15,vespertina (14-22),ACOLMAN,ECATEPEC,REAL DEL VALLE,CALLE BOULEVARD DEL LAGO,19.6420650430799,-98.9108081249449,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,0.88,"CALLE BOULEVARD DEL LAGO, REAL DEL VALLE, ACOLMAN, Estado de México, México"
270,2026-04-10,12:10:00,12,matutina (06-14),CHALCO,CHALCO,CULTURAS DE MÉXICO,CALLE AZTECAS ESQUINA HUITZILOPOCHTLI,19.2707807402942,-98.9086139965613,1,H,Ajuste de cuentas por venta de droga,IMPACTO DE ARMA DE FUEGO,1.0,"CALLE AZTECAS ESQUINA HUITZILOPOCHTLI, CULTURAS DE MEXICO, CHALCO, Estado de México, México"
271,2026-04-10,15:00:00,15,vespertina (14-22),CUAUTITLAN IZCALLI,METROPOLITANA,SAN MATEO IZTACALCO,AV 5 DE MAYO ESQUINA AV NARCISO MENDOZA,19.6986292458588,-99.1706133192183,1,H,Probable tentativa de robo,IMPACTO DE ARMA DE FUEGO,4.95,"AVENIDA 5 DE MAYO ESQUINA AV NARCISO MENDOZA, SAN MATEO IZTACALCO, CUAUTITLAN IZCALLI, Estado de México, México"
272,2026-04-10,18:25:00,18,vespertina (14-22),ECATEPEC,ECATEPEC,SAN MARTÍN DE LAS PORRAS,CALLE FRANCISCO I MADERO,19.5991563166486,-99.0237483500223,1,H,SIN DATOS,ARMA BLANCA,1.28,"CALLE FRANCISCO I MADERO, SAN MARTIN DE LAS PORRAS, ECATEPEC, Estado de México, México"
273,2026-04-11,16:00:00,16,vespertina (14-22),CUAUTITLAN IZCALLI,METROPOLITANA,CUAUTITLÁN IZCALLI SECCIÓN PARQUES,TIERRA FÉRTIL Y TIERRA MÍTICA,19.6674432746253,-99.2172853972608,1,H,Probable riña,ARMA BLANCA,1.11,"TIERRA FERTIL Y TIERRA MITICA, CUAUTITLAN IZCALLI SECCION PARQUES, CUAUTITLAN IZCALLI, Estado de México, México"
274,2026-04-11,21:02:00,21,vespertina (14-22),TEXCOCO,ORIENTE,BELLAVISTA,EMILIANO ZAPATA ESQUINA JACARANDAS,19.490902735433,-98.8640096210213,2,H y M,Se desconoce el Móvil de la Agresión,IMPACTO DE ARMA DE FUEGO,4.09,"EMILIANO ZAPATA ESQUINA JACARANDAS, BELLAVISTA, TEXCOCO, Estado de México, México"
