folio,fecha,hora,hora_num,franja,municipio,coordinacion,incidente,familia,peso_violencia,latitud,longitud,geo_confianza
TOL26072303979,2026-07-23,14:14:00,14,vespertina (14-22),OCOYOACAC,VALLE TOLUCA,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.2712,-99.44706,COORDENADA
TOL26072304079,2026-07-23,14:24:00,14,vespertina (14-22),ALMOLOYA,VALLE TOLUCA,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.297151,-99.765462,COORDENADA
TOL26072304119,2026-07-23,14:29:00,14,vespertina (14-22),LERMA,VALLE TOLUCA,ROBO DE MOTOCICLETA CON VIOLENCIA,robo_violento,2.0,19.302605,-99.529365,COORDENADA
TOL26072304164,2026-07-23,14:33:00,14,vespertina (14-22),NAUCALPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.4173,-99.24038,COORDENADA
TOL26072304174,2026-07-23,14:35:00,14,vespertina (14-22),NAUCALPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.439605,-99.25713,COORDENADA
TOL26072304310,2026-07-23,14:49:00,14,vespertina (14-22),TOLUCA,VALLE TOLUCA,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.36417,-99.673265,COORDENADA
TOL26072304329,2026-07-23,14:51:00,14,vespertina (14-22),TOLUCA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.269035,-99.63883,COORDENADA
ECA26072300757,2026-07-23,03:03:00,3,nocturna (22-06),CHALCO,CHALCO,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.26981,-98.889975,COORDENADA
ECA26072300786,2026-07-23,03:17:00,3,nocturna (22-06),TEXCOCO,ORIENTE,PERSONA LESIONADA POR ARMA BLANCA,arma_blanca,3.0,19.45993,-98.907345,COORDENADA
ECA26072300791,2026-07-23,03:19:00,3,nocturna (22-06),CHIMALHUACAN,ORIENTE,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.43298,-98.98381,COORDENADA
ECA26072300798,2026-07-23,03:23:00,3,nocturna (22-06),TEXCOCO,ORIENTE,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,19.45993,-98.907345,COORDENADA
ECA26072300802,2026-07-23,03:25:00,3,nocturna (22-06),CHICOLOAPAN,ORIENTE,ROBO A CASA HABITACION CON VIOLENCIA,robo_violento,2.0,19.4163,-98.91567,COORDENADA
ECA26072300812,2026-07-23,03:30:00,3,nocturna (22-06),CUAUTITLAN IZCALLI,METROPOLITANA,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.683195,-99.214765,COORDENADA
ECA26072300814,2026-07-23,03:31:00,3,nocturna (22-06),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.648185,-99.06404,COORDENADA
ECA26072300819,2026-07-23,03:31:00,3,nocturna (22-06),ZUMPANGO,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.81451,-99.03028,COORDENADA
ECA26072300871,2026-07-23,04:04:00,4,nocturna (22-06),ECATZINGO,CHALCO,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,18.956985,-98.755266,COORDENADA
ECA26072300880,2026-07-23,04:07:00,4,nocturna (22-06),TEXCOCO,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.43733,-98.90555,COORDENADA
ECA26072300884,2026-07-23,04:08:00,4,nocturna (22-06),TULTITLAN,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.612865,-99.16402,COORDENADA
ECA26072300895,2026-07-23,04:15:00,4,nocturna (22-06),CUAUTITLAN IZCALLI,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.661645,-99.248145,COORDENADA
ECA26072300918,2026-07-23,04:23:00,4,nocturna (22-06),CUAUTITLAN IZCALLI,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.67183,-99.221635,COORDENADA
ECA26072300925,2026-07-23,04:25:00,4,nocturna (22-06),TULTEPEC,ECATEPEC,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.686167,-99.07947,COORDENADA
ECA26072300932,2026-07-23,04:27:00,4,nocturna (22-06),CHIMALHUACAN,ORIENTE,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.442955,-98.972135,COORDENADA
ECA26072300938,2026-07-23,04:29:00,4,nocturna (22-06),COACALCO,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.63894,-99.09952,COORDENADA
ECA26072300948,2026-07-23,04:34:00,4,nocturna (22-06),TEXCOCO,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.45893,-98.90132,COORDENADA
ECA26072300968,2026-07-23,04:42:00,4,nocturna (22-06),ECATEPEC,ECATEPEC,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.49965,-99.059145,COORDENADA
ECA26072300984,2026-07-23,05:00:00,5,nocturna (22-06),TULTITLAN,METROPOLITANA,ROBO A GASOLINERA CON VIOLENCIA,robo_violento,2.0,19.62702,-99.16882,COORDENADA
ECA26072301005,2026-07-23,05:14:00,5,nocturna (22-06),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.57732,-99.06549,COORDENADA
ECA26072301008,2026-07-23,05:22:00,5,nocturna (22-06),CHALCO,CHALCO,PERSONA AGRESIVA,rina,1.5,19.22201,-98.914705,COORDENADA
ECA26072301078,2026-07-23,05:55:00,5,nocturna (22-06),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.56469,-99.02083,COORDENADA
ECA26072301180,2026-07-23,06:49:00,6,matutina (06-14),ZUMPANGO,ECATEPEC,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,19.79969,-99.09576,COORDENADA
ECA26072301226,2026-07-23,07:06:00,7,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.4219,-99.04269,COORDENADA
ECA26072301294,2026-07-23,07:22:00,7,matutina (06-14),TEXCOCO,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.45993,-98.907345,COORDENADA
ECA26072301295,2026-07-23,07:22:00,7,matutina (06-14),ECATEPEC,ECATEPEC,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.55081,-99.03713,COORDENADA
ECA26072301315,2026-07-23,07:30:00,7,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.54975,-99.027145,COORDENADA
ECA26072301335,2026-07-23,07:38:00,7,matutina (06-14),ACAMBAY,ATLACOMULCO,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.933627,-99.817521,COORDENADA
ECA26072301353,2026-07-23,07:45:00,7,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.55787,-99.03756,COORDENADA
ECA26072301360,2026-07-23,07:47:00,7,matutina (06-14),TULTITLAN,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.6694,-99.08114,COORDENADA
ECA26072301402,2026-07-23,08:07:00,8,matutina (06-14),IXTAPALUCA,CHALCO,ALTERACION DEL ORDEN PUBLICO POR PERSONA DROGADA,rina,1.5,19.331405,-98.94743,COORDENADA
